kde_low_prob_ratio,kde_prob_mean,kde_prob_day_mean,dist_to_centroid_mean,step_max,mean_speed,turning_angle_mean,hour,is_outside
0,0,0,38259,22451,55383,0,0,0
0,0,0,15976,65117,8547,0,0,0
0,0,0,37611,34283,11780,0,0,0
0,0,0,8516,36555,22210,0,0,0
0,0,5938,61107,36648,60853,0,0,0
0,52456,57600,1629,15271,26706,58348,0,0
0,0,27277,30484,574,12433,23421,0,0
0,0,0,23301,42930,30475,9952,53620,0
0,0,0,4145,49858,47649,6151,41705,0
0,0,0,27113,48397,55813,57351,29789,0
0,0,0,8169,58211,19838,0,17873,0
0,0,0,46374,33349,9174,0,5957,0
0,0,0,11453,18742,46430,17302,0,0
0,0,0,36633,38166,58453,0,0,0
0,0,0,5249,63063,3159,0,0,0
0,0,0,48429,38801,1573,26394,0,0
0,0,36470,43078,41016,41176,0,0,0
0,13006,5997,9040,49807,48427,19635,0,0
0,24602,3414,32375,26259,7397,46814,0,0
0,51211,35743,1575,1522,28221,11377,53620,0
0,48530,58542,57649,827,2299,45618,41705,0
0,43681,45875,62890,27266,57104,0,29789,0
0,2189,51258,55736,13821,52002,21213,17873,1
0,61538,51995,23601,20565,27290,65387,5957,1
0,1308,8624,48946,6604,13293,0,0,0
0,3872,24399,17390,26673,26606,0,0,1
0,55607,33566,0,40603,24432,19982,0,1
0,6528,1333,0,21428,48017,28643,0,1
0,38864,18611,18652,52169,38937,0,0,1
0,50812,28348,20180,38157,57032,32549,0,1
0,33539,58470,17587,24863,59284,44644,53620,1
0,0,0,13110,8084,0,32611,41705,0
0,0,0,1869,55424,63361,42850,29789,0
0,0,0,17068,61652,949,26339,17873,0
0,0,0,45987,35164,23006,0,5957,0
0,0,0,57612,46455,54753,53762,0,0
0,0,0,43648,11432,37724,0,0,0
0,0,0,25950,17626,62404,20560,0,0
0,0,0,57602,19317,2577,0,0,0
0,0,0,60059,35334,31090,0,0,0
0,0,0,22810,37,16915,10011,0,0
0,0,0,53330,62536,33761,35063,0,0
0,0,0,62270,60187,19936,0,53620,0
0,0,0,59191,24948,9626,0,41705,0
0,0,0,34606,64732,60132,17965,29789,0
0,0,0,57684,8343,65372,0,17873,0
0,0,0,26471,5170,20565,46234,5957,0
0,0,0,50409,31624,112,44041,0,0
0,0,0,15950,54889,55051,22162,0,0
0,0,0,28135,15520,41677,0,0,0
0,0,0,25409,57183,43490,35495,0,0
0,0,33814,24436,40853,23798,0,0,0
0,17779,34053,4154,48479,59168,47262,0,0
0,15501,2823,45790,65317,21060,0,0,0
0,63173,53009,22320,42285,60287,41305,53620,0
0,59221,62576,21632,3239,7150,0,41705,0
0,0,54972,23081,40964,33834,30052,29789,0
0,0,39935,10840,2170,45041,10367,17873,0
0,0,38448,12328,44610,59113,0,5957,0
0,0,20675,47375,45379,51515,9059,0,0
0,0,54312,37899,27991,39338,0,0,0
0,0,43189,65293,48309,18339,59660,0,0
0,0,62686,21223,4992,17948,8206,0,0
0,0,4319,17772,44744,14879,56643,0,0
0,16400,2614,46261,38442,26600,43642,0,0
0,48947,59230,56047,53369,8365,29575,0,0
0,60345,51677,7717,18119,34228,0,53620,0
0,1328,26693,9983,36202,14195,11501,41705,0
0,37930,27739,25244,20456,15154,0,29789,0
0,5428,53073,6173,17117,21393,0,17873,0
0,19081,18414,25955,60848,21764,21416,5957,0
0,40752,17126,45402,18265,46091,0,0,0
0,25256,11007,64480,19333,19506,0,0,0
0,48058,47894,38723,63227,21082,0,0,0
0,15805,34600,38246,56575,18059,55977,0,0
0,0,48640,12637,37102,59602,0,0,0
0,37012,7439,26169,5903,7191,0,0,0
0,0,4194,49877,43898,19720,0,0,0
0,0,18995,7786,50605,21526,7162,53620,0
0,0,0,45898,22175,9441,8529,41705,0
0,0,0,7519,36053,31658,0,29789,0
