kde_prob_mean,kde_prob_night_mean,dist_to_centroid_mean,step_median,mean_speed,accelerate,turning_angle_max,turning_angle_median,is_night,is_outside
44243,31825,8821,1171,2103,0,0,0,0,0
41316,33062,9263,755,1347,900,0,0,0,0
29265,29420,6222,5228,9368,9597,61683,61683,0,0
30496,29092,5808,627,1111,9780,39366,39366,65535,0
18120,28806,5443,3160,5677,5478,41595,41595,65535,0
12614,26989,4300,7224,12863,8545,20610,20610,65535,0
16773,32755,7057,4103,7334,6600,705,705,65535,0
25082,32698,9495,2884,5108,2633,20929,20929,65535,0
30170,28304,12025,2975,5404,358,15968,15968,65535,0
23282,19786,14607,3725,6615,1436,23600,23600,65535,0
24725,25943,16580,4052,7285,805,36399,36399,0,0
26014,21720,15033,2905,5200,2492,64939,64939,0,0
27074,22102,14488,608,1084,4897,17173,17173,0,0
23221,19686,15156,896,1607,627,48064,48064,0,0
24640,26310,16806,3838,6814,6173,37205,37205,0,0
30039,27241,18471,2693,4846,2365,2224,2224,65535,0
24914,25878,9751,12720,22703,21283,39245,39245,65535,0
3792,4248,19639,15950,28278,6601,16319,16319,65535,1
7180,4045,22969,4911,8869,23405,27438,27438,65535,1
8169,5609,23238,1054,1865,8277,13383,13383,65535,0
10579,7157,25842,3201,5757,4674,15988,15988,65535,0
7199,2228,24459,4898,8721,3524,50401,50401,65535,0
6009,1388,30202,7816,14042,6383,22341,22341,0,1
6110,1662,30532,424,759,15874,23558,23558,0,1
6504,1869,29760,965,1702,1110,43429,43429,0,1
5164,3547,32510,3186,5765,4909,47279,47279,0,1
4438,3441,33139,696,1246,5407,3607,3607,0,1
3300,3383,34064,1681,2987,2064,16656,16656,65535,1
1765,356,27145,9293,16569,16172,57908,57908,65535,1
0,0,22719,8444,7577,5388,2772,2772,65535,1
1906,6458,16698,6798,12122,5412,27501,27501,65535,1
53012,58146,14873,30326,54564,50994,16127,16127,65535,1
56142,56797,16619,2186,3883,60119,22619,22619,65535,0
51501,64783,16288,1288,2317,1881,29248,29248,0,0
56978,43307,17191,2875,5139,3368,65009,65009,0,0
47058,27711,18461,1690,2989,2540,10719,10719,0,0
55361,35802,17441,1145,2054,1120,48420,48420,0,0
57364,39915,17146,510,917,1364,23506,23506,0,0
46368,29948,17898,2410,4321,4075,57517,57517,65535,0
48607,37094,16946,1131,2007,2743,32953,32953,65535,0
45641,45460,15148,3103,5515,4163,8440,8440,65535,0
48232,46437,14722,1099,1984,4258,3056,3056,65535,0
46824,48156,14943,2137,3820,2192,58074,58074,65535,0
45526,50861,13990,1088,1944,2238,42471,42471,65535,0
43824,51820,13629,553,992,1141,22492,22492,65535,0
49936,46470,14668,2945,5263,5097,55715,55715,0,0
51336,46889,14606,453,808,5307,13356,13356,0,0
51528,46816,14640,115,207,720,0,0,0,0
52193,55334,14097,3847,6865,7934,12428,12428,0,0
52664,53249,15077,1198,2147,5644,43461,43461,0,0
54104,50129,14971,1202,2149,2,26218,26218,65535,0
38958,50777,15145,3942,7020,5794,62805,62805,65535,0
22419,41288,18482,3700,6586,516,25121,25121,65535,0
20201,37786,17439,2156,3874,3254,41935,41935,65535,0
10738,24004,17697,1849,3275,709,12847,12847,65535,0
