max_depth,n_estimators,OOB_Score,Test_Accuracy,F1_Macro,Precision_Anomaly,Recall_Anomaly
5,6,0.9862,0.9971,0.9914,0.9866,0.9822
3,8,0.987,0.9971,0.9913,0.9955,0.9733
3,12,0.9925,0.9971,0.9913,0.9955,0.9733
6,8,0.9926,0.9971,0.9913,0.9955,0.9733
6,6,0.9881,0.9971,0.9913,0.9955,0.9733
5,8,0.9917,0.9967,0.9902,0.9822,0.9822
6,12,0.9964,0.9967,0.9901,0.9954,0.9689
6,10,0.9957,0.9967,0.9901,0.9954,0.9689
5,4,0.9814,0.9967,0.9901,0.9954,0.9689
4,8,0.9917,0.9963,0.989,0.9821,0.9778
4,10,0.994,0.9963,0.989,0.9821,0.9778
4,12,0.9948,0.9963,0.989,0.9821,0.9778
3,6,0.9804,0.9963,0.9889,0.9909,0.9689
4,6,0.9864,0.9963,0.9889,0.9909,0.9689
6,4,0.981,0.9959,0.9876,0.9909,0.9644
5,10,0.9951,0.9955,0.9865,0.9777,0.9733
5,12,0.9953,0.9951,0.9853,0.9733,0.9733
6,2,0.9602,0.9951,0.9852,0.9819,0.9644
3,10,0.9902,0.9947,0.9841,0.9732,0.9689
4,4,0.9799,0.9947,0.9841,0.969,0.9733
5,2,0.9605,0.9942,0.9827,0.9774,0.96
1,2,0.9451,0.9938,0.9811,1.0,0.9333
2,12,0.9914,0.9934,0.9799,0.9906,0.9378
2,2,0.9571,0.9934,0.9799,0.9906,0.9378
2,8,0.9858,0.993,0.9786,0.9906,0.9333
2,4,0.9741,0.993,0.9786,0.9906,0.9333
2,6,0.9768,0.993,0.9786,0.9906,0.9333
4,2,0.9589,0.9926,0.9781,0.952,0.9689
2,10,0.9882,0.9906,0.9723,0.9316,0.9689
3,2,0.9585,0.9869,0.9625,0.8907,0.9778
3,4,0.9759,0.9869,0.9623,0.8939,0.9733
1,12,0.9608,0.9606,0.8959,0.7216,0.9333
1,8,0.9417,0.9466,0.8676,0.6444,0.9422
1,10,0.9539,0.9462,0.8664,0.6433,0.9378
1,6,0.9084,0.9404,0.8557,0.6163,0.9422
1,4,0.9208,0.9326,0.8414,0.584,0.9422
