timestamp,step_mean,step_std,step_max,step_median,dist_to_centroid_mean,speed_roll_var_4h_mean,speed_roll_var_8h_mean,accel_roll_var_4h_mean,accel_roll_var_8h_mean,kde_prob_mean,kde_prob_min,kde_prob_max,kde_prob_std,kde_prob_day_mean,kde_prob_night_mean,kde_prob_adaptive_mean,kde_low_prob_ratio,kde_very_low_prob_count,turning_angle_mean,turning_angle_std,turning_angle_max,turning_angle_median,sharp_turns_ratio,moderate_turns_ratio,turning_entropy,mean_speed,accelerate,is_outside,hour,is_night
0,76765107,0,76765107,76765107,581523725,0,0,0,0,2986985000,2986985000,2986985000,0,2597537978,3093282858,2597537978,0,0,0,0,0,0,0,0,993761858,137812055,0,0,2342709434,0
304975,49479261,0,49479261,49479261,610383520,11389736,0,5337904,0,2896546565,2896546565,2896546565,0,2499165173,3027852480,2499165173,0,0,0,0,0,0,0,0,2403210162,88285539,59010600,0,2733161006,0
609951,342656491,0,342656491,342656491,411762755,83045233,0,42960387,0,2910180161,2910180161,2910180161,0,2448171824,3131904879,2448171824,0,0,4042544447,0,4042544447,4042544447,4294967295,0,3143697909,613953028,628945751,0,3123612578,0
914926,41062091,0,41062091,41062091,384573995,79125601,28032125,118817492,43304934,2856786919,2856786919,2856786919,0,2419072900,3051809299,3051809299,0,0,2579921662,0,2579921662,2579921662,4294967295,0,3641638123,72832706,640921905,0,3514064150,4294967295
1219901,207064872,0,207064872,207064872,361050743,55138238,62378317,90282105,103268968,2578392075,2578392075,2578392075,0,1952452462,3084786038,3084786038,0,0,2726015855,0,2726015855,2726015855,4294967295,0,4015721108,372043189,358996010,0,3904515723,4294967295
1524877,473447335,0,473447335,473447335,286200811,87308432,102954224,30116302,121425068,2033049903,2033049903,2033049903,0,1294135583,2783439916,2783439916,0,0,1350689772,0,1350689772,1350689772,0,4294967295,3907386801,843016274,559997717,0,4294967295,4294967295
1829852,268894782,0,268894782,268894782,466368269,47384704,100528243,84607045,125193646,2362673850,2362673850,2362673850,0,1750781348,2881536541,2881536541,0,0,46226301,0,46226301,46226301,0,0,3321053936,480653457,432532962,0,0,4294967295
2134827,188983218,0,188983218,188983218,626074630,18935279,60134147,14569625,90811407,2673992518,2673992518,2673992518,0,2237034802,2895531101,2895531101,0,0,1371612896,0,1371612896,1371612896,0,4294967295,3122301564,334788363,172553740,0,390451572,4294967295
2439802,194953922,0,194953922,194953922,791608016,1354999,54710600,6381345,69706411,2809301929,2809301929,2809301929,0,2509108946,2814709417,2814709417,0,0,1046484999,0,1046484999,1046484999,0,4294967295,3122301564,354138657,23472255,0,780903145,4294967295
2744778,244104461,0,244104461,244104461,960806114,2859089,11695793,1300027,25044195,2418237368,2418237368,2418237368,0,2247249544,2297803357,2247249544,0,0,1546641415,0,1546641415,1546641415,0,4294967295,3321053936,433510917,94128027,0,1171354717,4294967295
3049753,265544547,0,265544547,265544547,1089785700,1665024,4600964,1005538,9486760,2427092601,2427092601,2427092601,0,2251664944,2311674751,2251664944,0,0,2385467490,0,2385467490,2385467490,4294967295,0,3907386801,477449598,52754930,0,1561806289,0
3354728,190415429,0,190415429,190415429,988662147,13348977,8212369,5998144,7723682,2421179956,2421179956,2421179956,0,2248909568,2302136942,2248909568,0,0,4255919443,0,4255919443,4255919443,4294967295,0,4096214923,340796374,163319710,0,1952257861,0
3659704,39864630,0,39864630,39864630,952953876,29727340,38534772,4139218,16473413,2501259072,2501259072,2501259072,0,2318705191,2384840708,2318705191,0,0,1125467030,0,1125467030,1125467030,0,4294967295,4096214923,71021918,320945556,0,2342709434,0
3964679,58692886,0,58692886,58692886,996737023,9900698,43412206,16707266,17528602,2345055286,2345055286,2345055286,0,2180834206,2225987558,2180834206,0,0,3149952780,0,3149952780,3149952780,4294967295,0,4096214923,105309269,41080996,0,2733161006,0
4269654,251524695,0,251524695,251524695,1104562827,39415516,34805016,16738803,40652041,2434809274,2434809274,2434809274,0,2257599147,2320776961,2257599147,0,0,2438319562,0,2438319562,2438319562,4294967295,0,3708634430,446565463,404586073,0,3123612578,0
4574630,176461713,0,176461713,176461713,1213516933,59483665,77362296,35454754,53076867,2450829172,2450829172,2450829172,0,2248741478,2369976443,2369976443,0,0,145778458,0,145778458,145778458,0,0,3519806307,317589029,155006979,0,3514064150,4294967295
4879605,833658936,0,833658936,833658936,642039319,524802306,467438806,186379614,173080661,2477467392,2477467392,2477467392,0,2033967566,2738038833,2738038833,0,0,2572025346,0,2572025346,2572025346,4294967295,0,3519806307,1487904984,1394812404,0,3904515723,4294967295
5184580,1045283471,0,1045283471,1045283471,1288880245,190064238,659905162,182748251,201254618,539212440,539212440,539212440,0,369034707,701315723,701315723,4294967295,0,1069501619,0,1069501619,1069501619,0,4294967295,3519806307,1853275435,432578763,0,4294967295,4294967295
5489556,321873555,0,321873555,321873555,1506972922,607845612,581224143,397546473,615726643,972209698,972209698,972209698,0,801103173,1070267799,1070267799,0,0,1798223582,0,1798223582,1798223582,0,4294967295,3519806307,581246181,1533902664,0,0,4294967295
5794531,69076466,0,69076466,69076466,1524573646,203214055,722099308,126302733,676530000,1117607271,1117607271,1117607271,0,904180353,1254271047,1254271047,0,0,877079665,0,877079665,877079665,0,4294967295,3907386801,122252861,542451820,0,390451572,4294967295
6099506,209781563,0,209781563,209781563,1695136750,28827335,656768854,103188902,381083456,1274207418,1274207418,1274207418,0,1062224821,1385160858,1385160858,0,0,1047835186,0,1047835186,1047835186,0,4294967295,4294967295,377293051,306299297,0,780903145,4294967295
6404482,321022594,0,321022594,321022594,1604448638,34076913,122244920,8450807,316573140,732891012,732891012,732891012,0,681818445,695320347,681818445,4294967295,0,3303098069,0,3303098069,3303098069,4294967295,0,4294967295,571531024,230921428,0,1171354717,4294967295
6709457,512243197,0,512243197,512243197,1980425866,59356379,109951089,23942832,130432083,211718227,211718227,211718227,0,218968647,169377953,218968647,4294967295,4294967295,1464160989,0,1464160989,1464160989,0,4294967295,4294967295,920242978,418330022,4294967295,1561806289,0
