feature,scale,min,max
timestamp,3.278953955340887e-06,0.0,14083.0
step_mean,3.287780541333041e-06,0.0,14120.909898162809
step_std,1.0,0.0,0.0
step_max,3.287780541333041e-06,0.0,14120.909898162809
step_median,3.287780541333041e-06,0.0,14120.909898162809
dist_to_centroid_mean,3.593757275147354e-06,0.0,15435.069962926202
speed_roll_var_4h_mean,0.0005411104623292989,0.0,2324051.738686668
speed_roll_var_8h_mean,0.0005184585812853201,0.0,2226762.650432549
accel_roll_var_4h_mean,0.00035154156396150394,0.0,1509859.52004781
accel_roll_var_8h_mean,0.00022302493080064267,0.0,957884.7837583984
kde_prob_mean,2.3283064370807974e-10,0.0,1.0
kde_prob_min,2.3283064370807974e-10,0.0,1.0
kde_prob_max,2.3283064370807974e-10,0.0,1.0
kde_prob_std,1.0,0.0,0.0
kde_prob_day_mean,2.3283064370807974e-10,0.0,1.0
kde_prob_night_mean,2.3283064370807974e-10,0.0,1.0
kde_prob_adaptive_mean,2.3283064370807974e-10,0.0,1.0
kde_low_prob_ratio,2.3283064370807974e-10,0.0,1.0
kde_very_low_prob_count,2.3283064370807974e-10,0.0,1.0
turning_angle_mean,4.190435927622939e-08,0.0,179.9778526093351
turning_angle_std,1.0,0.0,0.0
turning_angle_max,4.190435927622939e-08,0.0,179.9778526093351
turning_angle_median,4.190435927622939e-08,0.0,179.9778526093351
sharp_turns_ratio,2.3283064370807974e-10,0.0,1.0
moderate_turns_ratio,2.3283064370807974e-10,0.0,1.0
turning_entropy,5.031386501963297e-10,0.0,2.1609640474436813
mean_speed,9.195234611970895e-07,0.0,3949.323192826701
accelerate,3.8512075302842185e-07,0.0,1654.081038882844
is_outside,2.3283064370807974e-10,0.0,1.0
hour,5.122274161577754e-09,0.0,22.0
is_night,2.3283064370807974e-10,0.0,1.0
