n_features,features,f1_macro,f1_weighted,f1_class1,roc_auc,oob_score
1,['kde_prob_mean'],0.9799292907428595,0.9933453132073551,0.9634703196347032,0.9849554851365625,0.9940421160760143
2,"['kde_prob_mean', 'kde_prob_night_mean']",0.9811449084280865,0.9937546803344872,0.965675057208238,0.9875951913887632,0.9939393939393939
3,"['kde_prob_mean', 'kde_prob_night_mean', 'accelerate']",0.990126822065782,0.9966999769239167,0.9820627802690582,0.9958442734268901,0.9934257832562917
4,"['kde_prob_mean', 'kde_prob_night_mean', 'accelerate', 'dist_to_centroid_mean']",0.9889150166456919,0.996291229361339,0.9798657718120806,0.9939590563854936,0.9947611710323575
5,"['kde_prob_mean', 'kde_prob_night_mean', 'accelerate', 'dist_to_centroid_mean', 'mean_speed']",0.9925651238942379,0.9975199376234813,0.9864864864864865,0.9974468085106384,0.9951720595788393
6,"['kde_prob_mean', 'kde_prob_night_mean', 'accelerate', 'dist_to_centroid_mean', 'mean_speed', 'is_night']",0.991343513350794,0.9971095442678114,0.9842696629213483,0.9992686484583271,0.9958911145351823
7,"['kde_prob_mean', 'kde_prob_night_mean', 'accelerate', 'dist_to_centroid_mean', 'mean_speed', 'is_night', 'step_median']",0.9900868318589837,0.9966932501646417,0.9819819819819819,0.9969267139479906,0.9959938366718027
8,"['kde_prob_mean', 'kde_prob_night_mean', 'accelerate', 'dist_to_centroid_mean', 'mean_speed', 'is_night', 'step_median', 'turning_angle_max']",0.991343513350794,0.9971095442678114,0.9842696629213483,0.9994034505306574,0.9928094504365691
9,"['kde_prob_mean', 'kde_prob_night_mean', 'accelerate', 'dist_to_centroid_mean', 'mean_speed', 'is_night', 'step_median', 'turning_angle_max', 'turning_angle_median']",0.9925951165493365,0.9975249826929375,0.9865470852017937,0.9993058699260601,0.9953775038520801
10,"['kde_prob_mean', 'kde_prob_night_mean', 'accelerate', 'dist_to_centroid_mean', 'mean_speed', 'is_night', 'step_median', 'turning_angle_max', 'turning_angle_median']",0.9925951165493365,0.9975249826929375,0.9865470852017937,0.9993058699260601,0.9953775038520801
12,"['kde_prob_mean', 'kde_prob_night_mean', 'accelerate', 'dist_to_centroid_mean', 'mean_speed', 'is_night', 'step_median', 'turning_angle_max', 'turning_angle_median']",0.9925951165493365,0.9975249826929375,0.9865470852017937,0.9993058699260601,0.9953775038520801
15,"['kde_prob_mean', 'kde_prob_night_mean', 'accelerate', 'dist_to_centroid_mean', 'mean_speed', 'is_night', 'step_median', 'turning_angle_max', 'turning_angle_median']",0.9925951165493365,0.9975249826929375,0.9865470852017937,0.9993058699260601,0.9953775038520801
20,"['kde_prob_mean', 'kde_prob_night_mean', 'accelerate', 'dist_to_centroid_mean', 'mean_speed', 'is_night', 'step_median', 'turning_angle_max', 'turning_angle_median']",0.9925951165493365,0.9975249826929375,0.9865470852017937,0.9993058699260601,0.9953775038520801
9,"['kde_prob_mean', 'kde_prob_night_mean', 'accelerate', 'dist_to_centroid_mean', 'mean_speed', 'is_night', 'step_median', 'turning_angle_max', 'turning_angle_median']",0.9925951165493365,0.9975249826929375,0.9865470852017937,0.9993058699260602,0.9953775038520801
