column,original_value,encoded_value
timestamp,2018-08-31 12:00:00,0
timestamp,2018-08-31 14:00:00,1
timestamp,2018-08-31 16:00:00,2
timestamp,2018-08-31 18:00:00,3
timestamp,2018-08-31 20:00:00,4
timestamp,2018-08-31 22:00:00,5
timestamp,2018-09-01 00:00:00,6
timestamp,2018-09-01 02:00:00,7
timestamp,2018-09-01 04:00:00,8
timestamp,2018-09-01 06:00:00,9
timestamp,2018-09-01 08:00:00,10
timestamp,2018-09-01 10:00:00,11
timestamp,2018-09-01 12:00:00,12
timestamp,2018-09-01 14:00:00,13
timestamp,2018-09-01 16:00:00,14
timestamp,2018-09-01 18:00:00,15
timestamp,2018-09-01 20:00:00,16
timestamp,2018-09-01 22:00:00,17
timestamp,2018-09-02 00:00:00,18
timestamp,2018-09-02 02:00:00,19
timestamp,2018-09-02 04:00:00,20
timestamp,2018-09-02 06:00:00,21
timestamp,2018-09-02 08:00:00,22
timestamp,2018-09-02 10:00:00,23
timestamp,2018-09-02 12:00:00,24
timestamp,2018-09-02 14:00:00,25
timestamp,2018-09-02 16:00:00,26
timestamp,2018-09-02 18:00:00,27
timestamp,2018-09-02 20:00:00,28
timestamp,2018-09-02 22:00:00,29
timestamp,2018-09-03 00:00:00,30
timestamp,2018-09-03 02:00:00,31
timestamp,2018-09-03 04:00:00,32
timestamp,2018-09-03 06:00:00,33
timestamp,2018-09-03 08:00:00,34
timestamp,2018-09-03 10:00:00,35
timestamp,2018-09-03 12:00:00,36
timestamp,2018-09-03 14:00:00,37
timestamp,2018-09-03 16:00:00,38
timestamp,2018-09-03 18:00:00,39
timestamp,2018-09-03 20:00:00,40
timestamp,2018-09-03 22:00:00,41
timestamp,2018-09-04 00:00:00,42
timestamp,2018-09-04 02:00:00,43
timestamp,2018-09-04 04:00:00,44
timestamp,2018-09-04 06:00:00,45
timestamp,2018-09-04 08:00:00,46
timestamp,2018-09-04 10:00:00,47
timestamp,2018-09-04 12:00:00,48
timestamp,2018-09-04 14:00:00,49
timestamp,2018-09-04 16:00:00,50
timestamp,2018-09-04 18:00:00,51
timestamp,2018-09-04 20:00:00,52
timestamp,2018-09-04 22:00:00,53
timestamp,2018-09-05 00:00:00,54
timestamp,2018-09-05 02:00:00,55
timestamp,2018-09-05 04:00:00,56
timestamp,2018-09-05 06:00:00,57
timestamp,2018-09-05 08:00:00,58
timestamp,2018-09-05 10:00:00,59
timestamp,2018-09-05 12:00:00,60
timestamp,2018-09-05 14:00:00,61
timestamp,2018-09-05 16:00:00,62
timestamp,2018-09-05 18:00:00,63
timestamp,2018-09-05 20:00:00,64
timestamp,2018-09-05 22:00:00,65
timestamp,2018-09-06 00:00:00,66
timestamp,2018-09-06 02:00:00,67
timestamp,2018-09-06 04:00:00,68
timestamp,2018-09-06 06:00:00,69
timestamp,2018-09-06 08:00:00,70
timestamp,2018-09-06 10:00:00,71
timestamp,2018-09-06 12:00:00,72
timestamp,2018-09-06 14:00:00,73
timestamp,2018-09-06 16:00:00,74
timestamp,2018-09-06 18:00:00,75
timestamp,2018-09-06 20:00:00,76
timestamp,2018-09-06 22:00:00,77
timestamp,2018-09-07 00:00:00,78
timestamp,2018-09-07 02:00:00,79
timestamp,2018-09-07 04:00:00,80
timestamp,2018-09-07 06:00:00,81
timestamp,2018-09-07 08:00:00,82
timestamp,2018-09-07 10:00:00,83
timestamp,2018-09-07 12:00:00,84
timestamp,2018-09-07 14:00:00,85
timestamp,2018-09-07 16:00:00,86
timestamp,2018-09-07 18:00:00,87
timestamp,2018-09-07 20:00:00,88
timestamp,2018-09-07 22:00:00,89
timestamp,2018-09-08 00:00:00,90
timestamp,2018-09-08 02:00:00,91
timestamp,2018-09-08 04:00:00,92
timestamp,2018-09-08 06:00:00,93
timestamp,2018-09-08 08:00:00,94
timestamp,2018-09-08 10:00:00,95
timestamp,2018-09-08 12:00:00,96
timestamp,2018-09-08 14:00:00,97
timestamp,2018-09-08 16:00:00,98
timestamp,2018-09-08 18:00:00,99
timestamp,2018-09-08 20:00:00,100
timestamp,2018-09-08 22:00:00,101
timestamp,2018-09-09 00:00:00,102
timestamp,2018-09-09 02:00:00,103
timestamp,2018-09-09 04:00:00,104
timestamp,2018-09-09 06:00:00,105
timestamp,2018-09-09 08:00:00,106
timestamp,2018-09-09 10:00:00,107
timestamp,2018-09-09 12:00:00,108
timestamp,2018-09-09 14:00:00,109
timestamp,2018-09-09 16:00:00,110
timestamp,2018-09-09 18:00:00,111
timestamp,2018-09-09 20:00:00,112
timestamp,2018-09-09 22:00:00,113
timestamp,2018-09-10 00:00:00,114
timestamp,2018-09-10 02:00:00,115
timestamp,2018-09-10 04:00:00,116
timestamp,2018-09-10 06:00:00,117
timestamp,2018-09-10 08:00:00,118
timestamp,2018-09-10 10:00:00,119
timestamp,2018-09-10 12:00:00,120
timestamp,2018-09-10 14:00:00,121
timestamp,2018-09-10 16:00:00,122
timestamp,2018-09-10 18:00:00,123
timestamp,2018-09-10 20:00:00,124
timestamp,2018-09-10 22:00:00,125
timestamp,2018-09-11 00:00:00,126
timestamp,2018-09-11 02:00:00,127
timestamp,2018-09-11 04:00:00,128
timestamp,2018-09-11 06:00:00,129
timestamp,2018-09-11 08:00:00,130
timestamp,2018-09-11 10:00:00,131
timestamp,2018-09-11 12:00:00,132
timestamp,2018-09-11 14:00:00,133
timestamp,2018-09-11 16:00:00,134
timestamp,2018-09-11 18:00:00,135
timestamp,2018-09-11 20:00:00,136
timestamp,2018-09-11 22:00:00,137
timestamp,2018-09-12 00:00:00,138
timestamp,2018-09-12 02:00:00,139
timestamp,2018-09-12 04:00:00,140
timestamp,2018-09-12 06:00:00,141
timestamp,2018-09-12 08:00:00,142
timestamp,2018-09-12 10:00:00,143
timestamp,2018-09-12 12:00:00,144
timestamp,2018-09-12 14:00:00,145
timestamp,2018-09-12 16:00:00,146
timestamp,2018-09-12 18:00:00,147
timestamp,2018-09-12 20:00:00,148
timestamp,2018-09-12 22:00:00,149
timestamp,2018-09-13 00:00:00,150
timestamp,2018-09-13 02:00:00,151
timestamp,2018-09-13 04:00:00,152
timestamp,2018-09-13 06:00:00,153
timestamp,2018-09-13 08:00:00,154
timestamp,2018-09-13 10:00:00,155
timestamp,2018-09-13 12:00:00,156
timestamp,2018-09-13 14:00:00,157
timestamp,2018-09-13 16:00:00,158
timestamp,2018-09-13 18:00:00,159
timestamp,2018-09-13 20:00:00,160
timestamp,2018-09-13 22:00:00,161
timestamp,2018-09-14 00:00:00,162
timestamp,2018-09-14 02:00:00,163
timestamp,2018-09-14 04:00:00,164
timestamp,2018-09-14 06:00:00,165
timestamp,2018-09-14 08:00:00,166
timestamp,2018-09-14 10:00:00,167
timestamp,2018-09-14 12:00:00,168
timestamp,2018-09-14 14:00:00,169
timestamp,2018-09-14 16:00:00,170
timestamp,2018-09-14 18:00:00,171
timestamp,2018-09-14 20:00:00,172
timestamp,2018-09-14 22:00:00,173
timestamp,2018-09-15 00:00:00,174
timestamp,2018-09-15 02:00:00,175
timestamp,2018-09-15 04:00:00,176
timestamp,2018-09-15 06:00:00,177
timestamp,2018-09-15 08:00:00,178
timestamp,2018-09-15 10:00:00,179
timestamp,2018-09-15 12:00:00,180
timestamp,2018-09-15 14:00:00,181
timestamp,2018-09-15 16:00:00,182
timestamp,2018-09-15 18:00:00,183
timestamp,2018-09-15 20:00:00,184
timestamp,2018-09-15 22:00:00,185
timestamp,2018-09-16 00:00:00,186
timestamp,2018-09-16 02:00:00,187
timestamp,2018-09-16 04:00:00,188
timestamp,2018-09-16 06:00:00,189
timestamp,2018-09-16 08:00:00,190
timestamp,2018-09-16 10:00:00,191
timestamp,2018-09-16 12:00:00,192
timestamp,2018-09-16 14:00:00,193
timestamp,2018-09-16 16:00:00,194
timestamp,2018-09-16 18:00:00,195
timestamp,2018-09-16 20:00:00,196
timestamp,2018-09-16 22:00:00,197
timestamp,2018-09-17 00:00:00,198
timestamp,2018-09-17 02:00:00,199
timestamp,2018-09-17 04:00:00,200
timestamp,2018-09-17 06:00:00,201
timestamp,2018-09-17 08:00:00,202
timestamp,2018-09-17 10:00:00,203
timestamp,2018-09-17 12:00:00,204
timestamp,2018-09-17 14:00:00,205
timestamp,2018-09-17 16:00:00,206
timestamp,2018-09-17 18:00:00,207
